date,tavg,tmin,tmax,prcp,wspd,pres,tsun,month,year
2002-01-01,7.0,4.7,9.3,51.0,15.9,1019.0,3180.0,1,2002
2002-02-01,8.5,5.8,11.1,64.0,15.9,1010.1,5460.0,2,2002
2002-03-01,8.9,5.3,12.3,38.0,15.9,1017.0,6660.0,3,2002
2002-04-01,11.0,6.2,15.7,38.0,15.9,1015.6,13260.0,4,2002
2002-05-01,13.5,9.5,17.4,66.0,15.9,1011.7,11520.0,5,2002
2002-06-01,15.9,11.7,20.0,74.0,15.9,1014.8,11460.0,6,2002
2002-07-01,18.0,13.5,22.4,67.0,15.9,1014.6,11640.0,7,2002
2002-08-01,19.1,14.8,23.4,36.0,15.9,1015.7,11400.0,8,2002
2002-09-01,16.0,11.5,20.4,20.0,15.9,1020.4,10680.0,9,2002
2002-10-01,11.9,8.6,15.0,62.0,15.9,1010.7,6540.0,10,2002
2002-11-01,9.9,7.3,12.3,151.0,15.9,1004.7,3960.0,11,2002
2002-12-01,7.3,5.8,8.8,119.0,15.9,1013.0,2040.0,12,2002
2003-01-01,5.4,2.9,7.9,74.0,15.9,1015.6,5640.0,1,2003
2003-02-01,5.3,2.1,8.4,21.0,15.9,1019.0,6060.0,2,2003
2003-03-01,9.2,4.7,13.6,16.0,15.9,1022.8,10620.0,3,2003
2003-04-01,11.1,6.3,15.7,30.0,15.9,1016.7,11880.0,4,2003
2003-05-01,13.6,9.0,18.1,39.0,15.9,1015.7,12300.0,5,2003
2003-06-01,18.4,13.4,23.4,48.0,15.9,1015.4,14700.0,6,2003
2003-07-01,19.6,14.8,24.2,29.0,15.9,1015.0,12840.0,7,2003
2003-08-01,21.2,15.7,26.5,10.0,15.81578947368421,1018.6,15300.0,8,2003
2003-09-01,16.5,10.9,21.9,8.0,15.73157894736842,1020.3,12420.0,9,2003
2003-10-01,10.7,6.8,14.5,35.0,15.647368421052631,1013.7,9660.0,10,2003
2003-11-01,9.9,7.3,12.5,114.0,15.563157894736843,1012.0,5280.0,11,2003
2003-12-01,6.2,4.0,8.4,52.0,15.478947368421053,1017.4,3480.0,12,2003
2004-01-01,6.3,4.0,8.5,72.0,15.394736842105264,1008.4,3840.0,1,2004
2004-02-01,6.4,4.1,8.7,26.0,15.310526315789474,1021.2,3900.0,2,2004
2004-03-01,7.6,4.1,10.9,30.0,15.226315789473684,1020.0,6180.0,3,2004
2004-04-01,10.7,6.5,14.9,69.0,15.142105263157895,1012.4,9300.0,4,2004
2004-05-01,14.0,9.6,18.2,45.0,15.057894736842107,1016.5,12480.0,5,2004
2004-06-01,17.4,12.6,22.1,40.0,14.973684210526317,1017.5,14160.0,6,2004
2004-07-01,18.1,13.4,22.8,38.0,14.889473684210527,1015.8,12060.0,7,2004
2004-08-01,19.5,15.2,23.8,108.0,14.805263157894737,1010.5,12780.0,8,2004
2004-09-01,16.7,12.6,20.8,19.0,14.721052631578948,1018.5,10980.0,9,2004
2004-10-01,12.4,9.3,15.3,97.0,14.636842105263158,1006.6,6060.0,10,2004
2004-11-01,8.9,6.6,11.1,30.0,14.55263157894737,1022.3,3660.0,11,2004
2004-12-01,6.2,3.8,8.5,47.0,14.46842105263158,1018.6,2880.0,12,2004
2005-01-01,7.0,4.5,9.5,22.0,14.38421052631579,1021.7,4320.0,1,2005
2005-02-01,5.2,2.9,7.3,20.0,14.3,1021.4,3720.0,2,2005
2005-03-01,8.3,4.9,11.6,44.0,14.25,1016.4,5820.0,3,2005
2005-04-01,10.5,6.3,14.6,30.0,14.2,1013.4,9180.0,4,2005
2005-05-01,13.2,8.6,17.7,20.0,16.3,1016.8,13680.0,5,2005
2005-06-01,18.0,13.1,22.8,33.0,12.0,1018.8,13140.0,6,2005
2005-07-01,18.8,14.2,23.2,46.0,11.841666666666667,1015.3,12180.0,7,2005
2005-08-01,18.2,13.1,23.3,42.0,11.683333333333334,1018.1,15000.0,8,2005
2005-09-01,17.2,12.9,21.4,47.0,11.525,1017.9,9060.0,9,2005
2005-10-01,14.7,11.5,17.7,73.0,11.366666666666667,1014.5,5400.0,10,2005
2005-11-01,7.4,4.1,10.5,29.0,11.208333333333334,1015.9,5580.0,11,2005
2005-12-01,5.5,3.0,7.8,44.0,11.05,1017.8,3960.0,12,2005
2006-01-01,5.5,3.4,7.6,17.0,10.891666666666666,1023.2,3060.0,1,2006
2006-02-01,4.8,2.4,7.1,41.0,10.733333333333333,1015.8,3780.0,2,2006
2006-03-01,6.1,2.9,9.3,45.0,10.575,1009.8,5460.0,3,2006
2006-04-01,10.1,6.1,14.1,33.0,10.416666666666666,1015.1,7920.0,4,2006
2006-05-01,14.0,9.9,18.0,92.0,10.258333333333333,1013.4,7680.0,5,2006
